control,empre,alfanum,l1,l2,l3,l4,l5,l6,QR,A,B,POS,CAMBIO,IMA1,IMA2,IMA3,IMA4,IMA5,PAG,Bobina
34840973,CF,EnFfv0n, ,X, , ,I,H,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34840973",D1,A3,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,340652,35
34840974,CF,fVX4Hbj,N,X, , , ,B,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34840974",E1,C4,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,340653,35
34840975,CF,vJU6PMV,E,R, ,L, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34840975",D1,C5,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,340654,35
34840976,CF,FmmzwT5, ,R,O, , ,I,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34840976",B1,D6,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,340655,35
34840977,CF,8R52vkS,L, ,J, ,A, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34840977",A1,E7,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,340656,35
34840978,CF,1exTUWR,N, ,F,S, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34840978",A1,E8,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,340657,35
34840979,CF,DOXA3Mp, ,S,T, ,F, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34840979",A1,B9,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,340658,35
34840980,CF,DnOwMQ4,Y, ,Z, , ,G,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34840980",D2,C0,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,340659,35
34840981,CF,OUUU2jY,I,Y, ,P, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34840981",D2,C1,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,340660,35
34840982,CF,uSWV1Qx, ,W,A, ,W, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34840982",B2,A2,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,340661,35
34840983,CF,fe9rPw4, ,Z,I, ,H, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34840983",A2,C3,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,340662,35
34840984,CF,offc7rf,F, , ,C, ,X,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34840984",B2,A4,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,340663,35
34840985,CF,4ZaAJRd, ,P, , ,T,R,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34840985",E2,A5,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,340664,35
34840986,CF,XzK5CZt, ,A, ,N,I, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34840986",A2,C6,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,340665,35
34840987,CF,4ccSY8q, , ,T,W,P, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34840987",E2,A7,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,340666,35
34840988,CF,rYOe6X2,C, , ,E, ,W,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34840988",C2,B8,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,340667,35
34840989,CF,XaoS9nt, ,G, ,B,C, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34840989",C2,B9,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,340668,35
34840990,CF,5GVCOr4,B, ,P,B, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34840990",A3,A0,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,340669,35
34840991,CF,fb8H0Zb,C,A, , ,M, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34840991",E3,E1,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,340670,35
34840992,CF,Autdd4B,C,K,R, , , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34840992",D3,B2,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,340671,35
34840993,CF,6O4huvV, , , ,F,J,N,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34840993",C3,C3,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,340672,35
34840994,CF,23TdTEM,U, ,Z, ,N, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34840994",A3,E4,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,340673,35
34840995,CF,pF4KBD9, , ,M, ,H,W,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34840995",E3,B5,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,340674,35
34840996,CF,WeD1H5n, ,A,C,F, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34840996",A3,C6,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,340675,35
34840997,CF,NuScw4w,K, , , ,N,I,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34840997",C3,A7,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,340676,35
34840998,CF,HHEM86z,I, , ,X, ,K,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34840998",A3,E8,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,340677,35
34840999,CF,35CdMm4,A, ,T, ,X, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34840999",D3,E9,NULL,2,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,340678,35
34841000,CF,5rNdwZh,E,S,C, , , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841000",C4,C0,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,340679,35
34841189,CF,xFFpf03,R, ,B,K, , ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841189",C2,E9,NULL,4,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,340868,35
34841336,CF,BkNhe0M, , , ,A,C,N,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841336",B7,C6,NULL,3,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,341015,35
34841527,CF,FBaJ7Rn,Z,M, , ,C, ,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841527",D6,E7,NULL,5,,,,,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,341206,35
34841635,CF,8N2spcn,T, , ,Y, ,K,"https://www.jalisco.gob.mx, COMPUTER FORMS S.A. DE C.V., PUBLICO, 34841635",E7,A5,NULL,1,B:\2026\Mayo\Tarjeta de Circulacion Jalisco\iNVISIBLE\DUO.pdf,,,,,341314,35
